transaction_id,user_id,transaction_date,items_in_cart,Category,Transaction_Amount,Bank_Name,Preferred_Payment_Method,Recommended_Payment_Method,Failed,Time_of_Day
T004,U123,2024-06-22 22:37:02,"{Toothpaste, Face Wash, Laptop Stand, Dove Shampoo}",Electronics,1923.05,HDFC,EMI,Credit Card,0,Morning
T069,U123,2024-06-29 16:37:02,{Toothpaste},Personal Care,13210.37,HDFC,UPI,Wallet,0,Afternoon
T096,U123,2024-07-02 19:37:02,"{Milk, Hair Oil}",Grocery,2781.02,SBI,Debit Card,UPI,0,Morning
T050,U123,2024-07-12 15:37:02,"{iPhone 14, Denim Jeans, Phone Case, Hair Oil}",Apparel,1122.77,Axis,UPI,Wallet,0,Evening
T085,U123,2024-07-12 18:37:02,"{Bread, Laptop Stand, Milk}",Electronics,1498.99,HDFC,Debit Card,Credit Card,0,Evening
T007,U123,2024-07-13 14:37:02,"{Phone Case, Face Wash}",Electronics,20894.84,ICICI,UPI,EMI,0,Night
T010,U123,2024-07-18 00:37:02,{Phone Case},Electronics,11082.65,SBI,UPI,EMI,0,Afternoon
T063,U123,2024-07-20 23:37:02,"{T-Shirt, Phone Case, Grocery Combo Pack, Bread}",Apparel,6084.41,Axis,UPI,UPI,0,Evening
T047,U123,2024-07-25 01:37:02,"{Milk, Denim Jeans, T-Shirt}",Apparel,19139.23,Kotak,Wallet,EMI,0,Morning
T022,U123,2024-07-26 15:37:02,{Dove Shampoo},Personal Care,1342.52,SBI,UPI,Credit Card,0,Afternoon
T035,U123,2024-07-27 10:37:02,"{Denim Jeans, Face Wash}",Apparel,2326.49,HDFC,Credit Card,UPI,1,Evening
T041,U123,2024-07-28 15:37:02,"{Denim Jeans, iPhone 14}",Electronics,21646.03,Kotak,Debit Card,EMI,0,Afternoon
T006,U123,2024-07-30 10:37:02,"{Hair Oil, Milk, Grocery Combo Pack}",Grocery,1004.32,Kotak,Credit Card,UPI,1,Morning
T067,U123,2024-08-01 13:37:02,"{Laptop Stand, Hair Oil, Sneakers, Detergent}",Electronics,3436.7,Axis,Wallet,EMI,0,Afternoon
T055,U123,2024-08-06 00:37:02,"{Dove Shampoo, Phone Case, Detergent}",Personal Care,6105.56,HDFC,Credit Card,Credit Card,0,Night
